id,name,memberType,partyName,color,voteType,reference,bio
c469,ธัญธร ธนินวัฒนาธร,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c492,สิริน สงวนสิน,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c503,ปวิตรา จิตตกิจ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
c516,พงศ์พันธ์ ยอดเมืองเจริญ,SS,ก้าวไกล,#F6834A,2,https://thestandard.co/9-parties-coalition-info/,
p957,วิโรจน์ เปาอินทร์,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p958,สมพงษ์ อมรวิวัฒน์,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p959,ประเสริฐ ประเสริฐ,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p960,ชูศักดิ์ ศิรินิล,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p961,เฉลิม อยู่บำรุง,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p962,เกรียง กัลป์ตินันท์,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p963,สุริยะ จึงรุ่งเรืองกิจ,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p964,สุชาติ ตันเจริญ,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p965,สุทิน คลังแสง,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p966,ชัยเกษม นิติสิริ,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p967,สมศักดิ์ เทพสุทิน,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p968,วิสุทธิ์ ไชยณรุณ,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p969,จาตุรนต์ ฉายแสง,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p970,ไพโรจน์ โลห์สุนทร,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p971,นพดล ปัทมะ,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p972,สงคราม กิจเลิศไพโรจน์,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p973,ประยุทธ์ ศิริพานิขย์,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p974,อดิศร เพียงเกษ,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p975,นิคม บุญวิเศษ,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p976,ขัตติยา สวัสดิผล,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p977,สุดาวรรณ หวังศุภกิจโกศล,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p978,ประวีณ์นุช อินทปัญญา,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p979,สุรเกียรติ เทียนทอง,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p980,จิตติพจน์ วิริยะโรจน์,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p981,ดนุพร ปุณณกันต์,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p982,อนุสรณ์ เอี่ยมสะอาด,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p983,พิศาล วัฒนวงษ์คีรี,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p984,สุธรรม แสงประทุม,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
p985,ลิณธิภรณ์ วริณวัชรโรจน์,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c1500,สุรพล บุญมา,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c1511,เกรียงไกร กิตติธเนศวร,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c3436,รังสรรค์ มณีรัตน์,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c2152,ทรงยศ รามสูต,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c2157,ชลน่าน ศรีแก้ว,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c2167,ณัฐพงษ์ สุปริยศิลป์,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c2200,นิพนธ์ คนขยัน,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c2836,ทศพร เสรีรักษ์,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c2848,นิยม วิวรรธนดิฐกุล,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c2854,วรวัจน์ เอื้ออภิญญกุล,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c3041,บุญแก้ว สมวงศ์,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c3969,สรวงศ์ เทียนทอง,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c4320,ชนก จันทาทอง,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c4326,เอกธนัช อินทร์รอด,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c4345,สยาม หัตถสงเคราะห์,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c4352,ไชยา พรหมา,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c4367,ณพล เชยคำแหง,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c4582,กฤษณา สีหลักษณ์,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c4595,วารุจ ศิริวัฒน์,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c4607,รวี เล็กอุทัย,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c895,ฐิติมา ฉายแสง,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c920,ศักดิ์ชาย ตันเจริญ,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c1587,ภูมิพัฒน์ พชรทรัพย์,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c1596,มนพร เจริญศรี,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c3395,ธนาธร โล่ห์สุนทร,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c3450,เลิศศักดิ์ พัฒนชัยกุล,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c3463,ศรัณย์ ทิมสุวรรณ,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c3484,สมเจตน์ แสงเจริญรัตน์,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c3992,อรรถพล วงษ์ประยูร,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c4025,พรรณสิริ กุลนาถศิริ,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c4038,ชูศักดิ์ คีรีมาศทอง,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c4050,ประภาพร ทองปากน้ำ,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c4058,จักรวาล ชัยวิรัตน์นุกูล,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c527,อัครนันท์ กัณณ์กิตตินันท์,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
c544,ชูศักดิ์ แม้นทิม,SS,เพื่อไทย,#FF3232,2,https://thestandard.co/9-parties-coalition-info/,
